epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,13025.5,0.47808,0.46134,0.00303,0.70718,0.77862,0.80899,0.59879,0.90779,0.96544,0.00445,0.0003367,0.0003367,0.0003367
69,13217.2,0.47182,0.40446,0.00304,0.75182,0.73278,0.81478,0.60769,0.92535,0.94703,0.00451,0.0003268,0.0003268,0.0003268
70,13407.2,0.48885,0.42453,0.00311,0.77075,0.75603,0.81947,0.61023,0.89733,0.92285,0.00429,0.0003169,0.0003169,0.0003169
71,13596.8,0.49744,0.43732,0.00292,0.76004,0.77871,0.82374,0.61306,0.91962,0.90508,0.00447,0.000307,0.000307,0.000307
72,13788.2,0.45436,0.41714,0.0028,0.76657,0.74438,0.82028,0.60761,0.89888,0.87657,0.00426,0.0002971,0.0002971,0.0002971
73,13977.2,0.45984,0.42022,0.00303,0.74114,0.6828,0.79206,0.60893,0.8818,0.91222,0.00427,0.0002872,0.0002872,0.0002872
74,14166.7,0.46528,0.41129,0.00281,0.70251,0.77143,0.8116,0.60362,0.92624,0.91018,0.00443,0.0002773,0.0002773,0.0002773
75,14355.3,0.44531,0.37988,0.00286,0.72232,0.75789,0.8227,0.60939,0.90984,0.88656,0.00427,0.0002674,0.0002674,0.0002674
76,14548.6,0.45849,0.3857,0.00297,0.83554,0.69302,0.83042,0.61307,0.93642,0.90889,0.00459,0.0002575,0.0002575,0.0002575
77,14736.6,0.48337,0.4101,0.00277,0.72689,0.76794,0.82464,0.61694,0.88656,0.87125,0.00422,0.0002476,0.0002476,0.0002476
78,14924.2,0.41798,0.36772,0.00273,0.82097,0.6694,0.83017,0.61641,0.94461,0.88983,0.00456,0.0002377,0.0002377,0.0002377
79,15113.7,0.45575,0.37831,0.00259,0.86248,0.66353,0.82761,0.62073,0.91426,0.88828,0.00434,0.0002278,0.0002278,0.0002278
80,15301.2,0.43342,0.36358,0.0026,0.78638,0.72528,0.80085,0.61632,0.91351,0.91596,0.00444,0.0002179,0.0002179,0.0002179
81,15492.9,0.42161,0.37721,0.00254,0.8184,0.73723,0.82398,0.60915,0.91823,0.91749,0.00436,0.000208,0.000208,0.000208
82,15685.5,0.44368,0.37109,0.00255,0.76077,0.71757,0.80407,0.61794,0.89215,0.90738,0.00422,0.0001981,0.0001981,0.0001981
83,15873.2,0.43515,0.36656,0.00245,0.76485,0.74576,0.81612,0.60702,0.91449,0.9211,0.0044,0.0001882,0.0001882,0.0001882
84,16061.9,0.42534,0.36603,0.00262,0.78884,0.71116,0.80549,0.60565,0.90275,0.9438,0.0043,0.0001783,0.0001783,0.0001783
85,16254.3,0.40464,0.36849,0.00248,0.7926,0.68501,0.80798,0.59888,0.90819,0.93433,0.00435,0.0001684,0.0001684,0.0001684
86,16444.1,0.42504,0.37113,0.0024,0.73858,0.71297,0.80689,0.60601,0.93201,0.96181,0.00445,0.0001585,0.0001585,0.0001585
87,16636.3,0.39756,0.36006,0.00258,0.75962,0.67687,0.7899,0.60587,0.88565,0.94361,0.00421,0.0001486,0.0001486,0.0001486
