epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,496.357,0.39492,0.36476,0.85231,0.79175,0.78911,0.85789,0.64869,0.98517,0.94451,0.85393,0.0003169,0.0003169,0.0003169
71,502.547,0.39385,0.35312,0.86254,0.84017,0.79479,0.86835,0.65425,0.98088,0.91903,0.85517,0.000307,0.000307,0.000307
72,509.864,0.37993,0.354,0.84999,0.86011,0.77803,0.87332,0.6641,1.02351,0.88964,0.85402,0.0002971,0.0002971,0.0002971
73,516.044,0.38028,0.34659,0.8549,0.88138,0.79428,0.89341,0.66566,1.00546,0.8215,0.85995,0.0002872,0.0002872,0.0002872
74,523.288,0.39626,0.35709,0.85786,0.84686,0.80362,0.88927,0.67665,0.97606,0.85706,0.85548,0.0002773,0.0002773,0.0002773
75,529.478,0.37639,0.33997,0.85676,0.83593,0.80027,0.8807,0.66412,1.02962,0.93277,0.8621,0.0002674,0.0002674,0.0002674
76,536.861,0.36904,0.33473,0.84911,0.8257,0.76721,0.87677,0.66729,0.95884,0.87862,0.85077,0.0002575,0.0002575,0.0002575
77,542.955,0.36307,0.33192,0.84693,0.82078,0.77094,0.87641,0.67129,0.93044,0.88405,0.84771,0.0002476,0.0002476,0.0002476
78,550.256,0.36603,0.32705,0.8498,0.87759,0.76302,0.89046,0.6556,0.95828,0.86941,0.85247,0.0002377,0.0002377,0.0002377
79,556.397,0.35839,0.34057,0.84642,0.87186,0.76858,0.88732,0.66584,0.97301,0.8857,0.85147,0.0002278,0.0002278,0.0002278
80,563.843,0.35528,0.334,0.84554,0.8003,0.83403,0.88737,0.66308,0.9633,0.87603,0.85181,0.0002179,0.0002179,0.0002179
81,570.038,0.33235,0.30797,0.84072,0.79726,0.84736,0.88832,0.6702,0.9516,0.88211,0.84892,0.000208,0.000208,0.000208
82,577.525,0.338,0.32208,0.83579,0.82797,0.80929,0.88281,0.6612,0.97598,0.87911,0.84853,0.0001981,0.0001981,0.0001981
83,583.741,0.36498,0.32631,0.85328,0.81618,0.79936,0.87984,0.66148,0.96482,0.90535,0.84911,0.0001882,0.0001882,0.0001882
84,591.062,0.34882,0.32049,0.84785,0.8083,0.7803,0.88052,0.66133,0.93903,0.90669,0.84561,0.0001783,0.0001783,0.0001783
85,597.398,0.32189,0.30308,0.84027,0.75629,0.8497,0.87646,0.6559,0.98638,0.93401,0.85216,0.0001684,0.0001684,0.0001684
86,605.078,0.32894,0.30505,0.84285,0.80011,0.8217,0.86683,0.6576,0.9816,0.88965,0.84946,0.0001585,0.0001585,0.0001585
87,611.329,0.3276,0.30681,0.84065,0.81002,0.81619,0.86823,0.64869,0.96685,0.89807,0.84946,0.0001486,0.0001486,0.0001486
88,619.804,0.33111,0.31429,0.84799,0.81843,0.7744,0.87108,0.64917,0.97578,0.90224,0.84722,0.0001387,0.0001387,0.0001387
89,625.947,0.32784,0.31222,0.83206,0.79563,0.79726,0.86611,0.6474,0.99076,0.91718,0.84904,0.0001288,0.0001288,0.0001288
90,633.491,0.31362,0.30105,0.83671,0.85038,0.7382,0.86821,0.65697,0.97205,0.91754,0.84923,0.0001189,0.0001189,0.0001189
91,640.492,0.2935,0.26916,0.77716,0.78337,0.8214,0.87804,0.65689,0.9547,0.87387,0.84731,0.000109,0.000109,0.000109
92,646.402,0.26674,0.25382,0.77733,0.79406,0.83136,0.87337,0.65826,0.96259,0.87852,0.84947,9.91e-05,9.91e-05,9.91e-05
93,651.57,0.23647,0.24092,0.76744,0.79788,0.83212,0.87381,0.65604,0.942,0.86523,0.84975,8.92e-05,8.92e-05,8.92e-05
94,657.844,0.22662,0.23168,0.76833,0.79367,0.82153,0.87918,0.65725,0.96823,0.86699,0.85081,7.93e-05,7.93e-05,7.93e-05
95,663.151,0.2074,0.22266,0.76299,0.80247,0.80723,0.887,0.66498,0.94807,0.87114,0.84454,6.94e-05,6.94e-05,6.94e-05
96,669.207,0.19693,0.21594,0.76345,0.81317,0.8223,0.89215,0.66275,0.95869,0.85693,0.84743,5.95e-05,5.95e-05,5.95e-05
97,674.47,0.18588,0.20969,0.76201,0.81042,0.80346,0.88188,0.65937,0.94591,0.859,0.84642,4.96e-05,4.96e-05,4.96e-05
98,679.825,0.1839,0.20598,0.7619,0.81296,0.82121,0.8836,0.65858,0.95331,0.84273,0.84556,3.97e-05,3.97e-05,3.97e-05
99,685.859,0.17209,0.20065,0.75913,0.80511,0.83677,0.88491,0.66056,0.94476,0.84529,0.84406,2.98e-05,2.98e-05,2.98e-05
100,691.185,0.17714,0.2019,0.75921,0.8196,0.83563,0.88463,0.66192,0.94552,0.85505,0.84451,1.99e-05,1.99e-05,1.99e-05
